participant_id,trial_id,target_name,phase,timestamp,raw_x,raw_y,smooth_raw_x,smooth_raw_y,mapped_x,mapped_y,left_ear,right_ear,head_offset_x,head_pose_status,fps,valid_face,camera_index
P01,1,CENTER,RECORD,1780240356.6336865,,,,,,,,,,NO_FACE,29.18852864012471,0,1
P01,1,CENTER,RECORD,1780240356.6682181,,,,,,,,,,NO_FACE,28.958988096881992,0,1
P01,1,CENTER,RECORD,1780240356.792469,,,,,,,,,,NO_FACE,8.048232165266548,0,1
P01,1,CENTER,RECORD,1780240356.8040495,,,,,,,,,,NO_FACE,86.35230173762662,0,1
P01,1,CENTER,RECORD,1780240356.8152022,,,,,,,,,,NO_FACE,89.66403009961948,0,1
P01,1,CENTER,RECORD,1780240356.825203,,,,,,,,,,NO_FACE,99.99294330806275,0,1
P01,1,CENTER,RECORD,1780240356.836052,,,,,,,,,,NO_FACE,92.17440225035162,0,1
P01,1,CENTER,RECORD,1780240356.8673983,,,,,,,,,,NO_FACE,31.901670266816758,0,1
P01,2,LEFT_TOP,RECORD,1780240358.4014068,,,,,,,,,,NO_FACE,40.673616431182786,0,1
P01,2,LEFT_TOP,RECORD,1780240358.433958,,,,,,,,,,NO_FACE,30.720750018310994,0,1
P01,2,LEFT_TOP,RECORD,1780240358.4694316,,,,,,,,,,NO_FACE,28.18998971684354,0,1
P01,2,LEFT_TOP,RECORD,1780240358.5039616,,,,,,,,,,NO_FACE,28.96038776764322,0,1
P01,2,LEFT_TOP,RECORD,1780240358.5339859,,,,,,,,,,NO_FACE,33.306366184656675,0,1
P01,2,LEFT_TOP,RECORD,1780240358.5695813,,,,,,,,,,NO_FACE,28.093504266634515,0,1
P01,2,LEFT_TOP,RECORD,1780240358.6020854,,,,,,,,,,NO_FACE,30.765366898453774,0,1
P01,2,LEFT_TOP,RECORD,1780240358.6367853,,,,,,,,,,NO_FACE,28.818512869137432,0,1
P01,2,LEFT_TOP,RECORD,1780240358.6689093,,,,,,,,,,NO_FACE,31.12933248229898,0,1
P01,2,LEFT_TOP,RECORD,1780240358.7011337,,,,,,,,,,NO_FACE,31.03236928358452,0,1
P01,2,LEFT_TOP,RECORD,1780240358.7352083,,,,,,,,,,NO_FACE,29.347420566894534,0,1
P01,2,LEFT_TOP,RECORD,1780240358.7681508,,,,,,,,,,NO_FACE,30.355892336307907,0,1
P01,2,LEFT_TOP,RECORD,1780240358.801068,,,,,,,,,,NO_FACE,30.379198203744615,0,1
P01,2,LEFT_TOP,RECORD,1780240358.837124,,,,,,,,,,NO_FACE,27.73460292270052,0,1
P01,2,LEFT_TOP,RECORD,1780240358.8683958,,,,,,,,,,NO_FACE,31.97779861698802,0,1
P01,2,LEFT_TOP,RECORD,1780240358.9022644,,,,,,,,,,NO_FACE,29.52591601844356,0,1
P01,2,LEFT_TOP,RECORD,1780240358.9340603,,,,,,,,,,NO_FACE,31.450518138600202,0,1
P01,2,LEFT_TOP,RECORD,1780240358.9689457,,,,,,,,,,NO_FACE,28.665281574630946,0,1
P01,2,LEFT_TOP,RECORD,1780240359.0008664,,,,,,,,,,NO_FACE,31.327661799305375,0,1
P01,2,LEFT_TOP,RECORD,1780240359.0339887,,,,,,,,,,NO_FACE,30.191139103833002,0,1
P01,2,LEFT_TOP,RECORD,1780240359.0670981,,,,,,,,,,NO_FACE,30.20287893080629,0,1
P01,2,LEFT_TOP,RECORD,1780240359.1013205,,,,,,,,,,NO_FACE,29.220657800319078,0,1
P01,2,LEFT_TOP,RECORD,1780240359.1364164,,,,,,,,,,NO_FACE,28.493332336976827,0,1
P01,2,LEFT_TOP,RECORD,1780240359.1707182,,,,,,,,,,NO_FACE,29.153024911032027,0,1
P01,2,LEFT_TOP,RECORD,1780240359.2020416,,,,,,,,,,NO_FACE,31.924980971228496,0,1
