participant_id,trial_id,target_name,phase,timestamp,raw_x,raw_y,smooth_raw_x,smooth_raw_y,mapped_x,mapped_y,left_ear,right_ear,head_offset_x,head_pose_status,fps,valid_face,camera_index
P01_webcam,1,CENTER,RECORD,1780217481.564814,0.4990079365079365,0.6661458333333333,0.4990079365079365,0.6661458333333333,638,479,0.2742925915603435,0.28865302779677876,0.052870090634441085,GOOD,52.96038991375936,1,1
P01_webcam,1,CENTER,RECORD,1780217481.5963562,0.5082291666666667,0.6706597222222223,0.5036185515873016,0.6684027777777778,644,481,0.294462196455064,0.2968799021902561,0.03153153153153153,GOOD,31.70369698481447,1,1
P01_webcam,1,CENTER,RECORD,1780217481.6291666,0.5229861111111112,0.6734375,0.5100744047619048,0.6700810185185185,652,482,0.24050988410080315,0.2542096875947336,0.019174041297935103,GOOD,30.47809500279762,1,1
P01_webcam,1,CENTER,RECORD,1780217481.658774,0.5089285714285714,0.6722222222222223,0.5097879464285715,0.6706163194444444,652,482,0.2829398758964045,0.2827539201269655,0.013196480938416423,GOOD,33.775458601085504,1,1
P01_webcam,1,CENTER,RECORD,1780217481.7064946,0.4894927536231884,0.6711805555555556,0.5057289078674948,0.6707291666666666,647,482,0.24446747732342117,0.2782752920900102,0.02046783625730994,GOOD,20.955279658264846,1,1
P01_webcam,1,CENTER,RECORD,1780217481.736838,0.5110532849503437,0.671875,0.5066163040479696,0.6709201388888889,648,483,0.2770760287259629,0.28838499961777087,0.005813953488372093,GOOD,32.955951913255284,1,1
P01_webcam,1,CENTER,RECORD,1780217481.7684796,0.5227380952380952,0.6722222222222223,0.5089194170751304,0.6711061507936508,651,483,0.28421061923803165,0.29744966549476015,0.013043478260869565,GOOD,31.60408095604081,1,1
P01_webcam,1,CENTER,RECORD,1780217481.8038573,0.5222619047619048,0.6717013888888889,0.5105872280359772,0.6711805555555556,653,483,0.2890954808706138,0.30101170703029806,0.011560693641618497,GOOD,28.26636115510328,1,1
P01_webcam,1,CENTER,RECORD,1780217481.8325706,0.5176920341394026,0.6699652777777778,0.5113766509363579,0.671045524691358,654,483,0.29388108195370455,0.2801823040477579,0.0028735632183908046,GOOD,34.827155573269565,1,1
P01_webcam,1,CENTER,RECORD,1780217481.863535,0.5261375947995666,0.6640625,0.5128527453226787,0.6703472222222222,656,482,0.2635405534872854,0.301799073762981,-0.017142857142857144,GOOD,32.29517840368357,1,1
P01_webcam,1,CENTER,RECORD,1780217481.8933992,0.5160416666666667,0.6604166666666667,0.5145561183385517,0.6697743055555556,658,482,0.2656615010025703,0.2919525077200782,-0.014204545454545454,GOOD,33.484783650007984,1,1
P01_webcam,1,CENTER,RECORD,1780217481.9402125,0.5317219880576045,0.6611111111111111,0.5169054004776454,0.6688194444444445,661,481,0.2774608638212088,0.28636888382461345,-0.005714285714285714,GOOD,21.361473702438005,1,1
