target_name,mean_x,mean_y,std_x,std_y,min_x,max_x,min_y,max_y,count
CENTER,0.495736866552177,0.6479221297353953,0.02092588930648398,0.07835204917085502,0.4082028650872061,0.578861839515353,0.5171354166666667,0.7714583333333334,1136
LEFT_BOTTOM,0.514251075257222,0.6640746324123025,0.04968583219743071,0.07901127937944998,0.3745964487489911,0.6523775196674277,0.5488541666666666,0.8053125,1207
LEFT_TOP,0.5129190815694833,0.6077889890017606,0.04293132110652194,0.06589101621115816,0.3824786324786324,0.5977515243902439,0.5061458333333333,0.6901215277777778,1143
RIGHT_BOTTOM,0.46559343637913736,0.6679381971425652,0.038424007414615796,0.0780192940471151,0.2559931506849315,0.5919229383746185,0.5388888888888889,0.9372395833333332,1148
RIGHT_TOP,0.49883352869968606,0.6091694403108465,0.045716481940141614,0.06916400192348651,0.3718050451052456,0.610596716661449,0.5024305555555556,0.6964236111111111,1200
